,MSE,RMSE,MAE,R2,Accuracy
Random Forest,79307144.88747504,8905.45590564992,4337.195238794221,0.9999488565822748,99.99488565822749
XGBoost,151396057.5690098,12304.310527982047,8504.88666050659,0.9999023680423097,99.99023680423097
Gradient Boosting,1397256385.9800482,37379.89280321772,26097.435129520927,0.9990989403650999,99.90989403651
Lasso Regression,242738916378.36008,492685.4131982802,371928.09485774854,0.8434630597773092,84.34630597773092
Linear Regression,242739308475.22763,492685.8111161997,371928.714521281,0.8434628069227409,84.34628069227409
Ridge Regression,242764540116.90198,492711.4166699428,371930.5714258002,0.8434465355969748,84.34465355969748
